StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q14,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q5_20,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,random,workerId,assignmentId,hitId
2/28/18 12:40,2/28/18 12:44,0,71.224.2.157,100,244,1,2/28/18 12:44,R_2TviMp9MBzhQiLQ,,,,,39.76899719,-75.80020142,anonymous,EN,1,3.167,3.167,4.827,1,23,4,4,4,4,5,4,4,5,4,3,3,4,3,3,4,4,4,4,5,5,1,3.089,58.393,59.694,23,4,4,5,4,4,4,1,4,4,4,2,5,3,3,4,3,4,1,4,4,3.662,64.665,66.41,23,5,3,3,4,2,3,4,4,4,3,4,2,4,3,4,3,4,4,4,2,2.793,81.741,82.964,26,A1PTH9KTRO06EG,342287,A1PTH9KTRO06EG,3QL2OFSM96ITJNVUED5HHJ7IBRGCN5,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 13:34,2/28/18 13:35,0,69.115.248.85,100,80,1,2/28/18 13:35,R_2cpaxiIdCdzMSaJ,,,,,40.61000061,-73.91079712,anonymous,EN,1,4.69,4.69,10.052,1,ABL3H3O3BI8ZD,,,,,,,,,,,,,,,,,,,,,1,28.72,28.72,31.051,1,,,,,,,,,,,,,,,,,,,,4,4.848,4.848,8.045,1,,,,,,,,,,,,,,,,3,,,,,4.138,4.138,5.853,1,ABL3H3O3BI8ZD,737245,ABL3H3O3BI8ZD,3NXNZ5RS1AX2I4W4MME1JWKK5R8798,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 13:37,2/28/18 13:38,0,107.77.207.7,100,100,1,2/28/18 13:38,R_zd0IWvca7aEAQUx,,,,,38.57829285,-90.66660309,anonymous,EN,1,3.217,6.893,7.755,7,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.797,26.719,31.113,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,0.68,22.937,23.647,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,0.791,20.059,20.726,53,AY4B7SUM68J3G,261724,AY4B7SUM68J3G,3MH9DQ757WCJVPV8D0DML5KRHFKGUU,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 13:37,2/28/18 13:41,0,71.78.17.155,100,261,1,2/28/18 13:41,R_eb109CaBxZN6cOl,,,,,30.20579529,-97.80020142,anonymous,EN,1,13.629,13.629,16.577,1,39,5,4,4,5,5,5,4,,3,,2,5,4,4,3,5,5,5,5,5,1,4.285,70.958,73.449,25,3,5,5,3,5,5,4,5,4,1,1,5,4,5,5,1,5,1,5,4,3.723,74.451,76.745,20,5,5,5,5,5,1,3,4,3,5,1,3,5,1,5,3,5,5,5,5,4.311,67.489,68.674,21,A2LI0QVPKA5CG8,587367,A2LI0QVPKA5CG8,3D4CH1LGEATLBX75FPIVP9XD4UA9GW,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 13:36,2/28/18 13:41,0,67.191.220.138,100,274,1,2/28/18 13:41,R_Cm3xW8pmNXe4eeB,,,,,34.09179688,-84.22090149,anonymous,EN,1,3.416,24.968,26.894,3,33,5,4,4,5,4,4,5,4,,2,4,5,2,3,4,5,4,4,5,4,1,4.993,88.046,89.332,23,4,4,5,4,2,4,1,1,4,2,1,4,4,5,4,1,1,1,5,4,4.754,69.631,71.027,23,5,4,4,2,5,1,1,2,3,5,2,1,3,2,5,3,4,4,4,4,1.894,62.447,63.599,23,A3LLRJ1HR3363G,999372,A3LLRJ1HR3363G,3BWI6RSP7G9JD0NLUXUNBALVWO7E78,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 13:37,2/28/18 13:42,0,24.225.125.42,100,302,1,2/28/18 13:42,R_2OTNFC52xp00cCm,,,,,48.14639282,-96.17649841,anonymous,EN,1,7.267,7.267,10.569,1,39,1,1,1,1,1,1,3,2,2,1,4,4,1,1,4,2,4,3,1,2,1,4.849,81.337,83.278,24,2,1,1,4,1,1,1,1,1,1,2,5,4,3,2,1,4,1,4,4,3.681,80.799,83.219,29,2,4,2,4,5,1,1,1,1,4,5,4,1,3,2,3,1,3,1,4,10.261,92.702,102.745,27,ALDQRWYZ8KQ9A,575971,ALDQRWYZ8KQ9A,3ZPPDN2SLVWNRJBE9US7P6C1REV9EF,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 13:39,2/28/18 13:53,0,74.243.190.101,100,833,1,2/28/18 13:53,R_2w0GkMhmVpKOHUn,,,,,35.39019775,-82.37249756,anonymous,EN,1,23.821,26.629,33.94,2,59,5,4,4,2,4,2,4,4,4,3,2,2,1,1,4,2,2,2,4,5,1,9.965,562.572,564.7,26,3,4,4,1,1,1,2,5,2,2,4,2,2,4,2,1,2,1,2,4,20.518,100.538,102.459,21,4,2,1,4,1,1,2,1,2,2,5,2,2,2,4,3,1,4,3,1,24.453,110,112.172,21,A3U74S280Z4B0,457465,A3U74S280Z4B0,3LJ7UR74RHDQOJIFLYZZYLVUJEI4N3,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 14:08,2/28/18 14:20,0,45.32.195.42,100,712,1,2/28/18 14:20,R_vUcwIwX2PLp8v73,,,,,32.78770447,-96.80000305,anonymous,EN,1,381.522,381.522,403.7,1,28,3,4,5,4,3,3,3,4,4,3,3,4,1,3,4,4,5,4,4,4,2,0,0,83.075,0,4,3,3,3,4,4,2,3,4,4,3,3,3,5,5,3,3,3,4,4,0,0,80.242,0,4,4,3,4,2,3,4,4,4,3,3,3,3,3,2,3,3,3,4,3,37.492,103.332,105.187,22,A2B4GWF7MF7AOB,779763,A2B4GWF7MF7AOB,3L4D84MILZSOH5FPL7RQZ3NHFZZJH0,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 14:22,2/28/18 14:29,0,47.39.232.126,100,409,1,2/28/18 14:29,R_uxgCouTyEmNxtvz,,,,,32.769104,-85.19740295,anonymous,EN,1,4.618,5.198,6.386,3,27,1,3,4,2,4,3,5,5,4,1,5,5,5,2,4,4,5,5,5,4,1,29.013,115.328,118.011,36,4,4,5,5,4,4,2,4,4,2,2,5,4,5,4,2,5,5,5,4,26.269,112.921,113.28,39,5,5,5,4,5,4,3,4,4,5,1,5,4,5,4,3,5,4,5,4,1.754,157.366,158.418,42,A18VIO909RWY6D,233030,A18VIO909RWY6D,3P4RDNWND56OD0Q9RP9BZFOWFCEJIT,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 14:27,2/28/18 14:30,0,24.216.114.235,100,179,1,2/28/18 14:30,R_VIFlrPWFJT4fPc5,,,,,38.50320435,-89.14969635,anonymous,EN,1,36.26,36.26,41.721,1,36,1,1,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0,0,27.437,0,4,1,4,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,4,11.228,11.228,48.163,1,1,1,1,1,1,1,1,1,4,1,5,1,2,1,1,3,2,1,1,1,0,0,41.64,0,AMPMTF5IAAMK8,398709,AMPMTF5IAAMK8,3EICBYG644WX0X49ZFDPOCQ1270JCX,3IJ95K7NDXC3EFD5QXWYJQWAABANGY
2/28/18 15:26,2/28/18 15:29,0,99.135.148.87,100,176,1,2/28/18 15:29,R_3F57rFZHD2WljoP,,,,,41.93519592,-88.29090118,anonymous,EN,1,4.246,4.246,4.968,1,35,2,2,2,2,4,4,4,2,2,2,1,1,1,2,2,2,1,1,4,4,1,0,0,42.793,0,2,4,4,2,1,2,2,1,2,2,1,4,1,2,2,1,1,1,1,5,0,0,55.288,0,1,1,1,2,2,1,2,2,2,1,2,1,2,5,2,3,2,1,1,4,0,0,54.653,0,A2NA2OJT15COZY,446473,A2NA2OJT15COZY,34BBWHLWHABAJKQ8YOSQO5I4H9CIWE,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 15:27,2/28/18 15:34,0,99.195.57.5,100,431,1,2/28/18 15:34,R_22RB00GNElrCcSD,,,,,31.06520081,-92.03800201,anonymous,EN,1,8.434,8.434,11.15,1,29,3,3,3,3,3,1,3,5,4,1,1,1,1,1,2,4,1,1,5,5,1,2.065,75.423,76.6,31,1,3,3,3,5,5,1,1,4,3,1,1,4,5,5,1,1,1,1,4,5.311,238.748,239.763,31,5,1,1,5,1,4,5,2,3,1,2,1,3,3,4,3,5,5,3,1,7.97,87.361,88.657,34,A2INXY39KBM92F,324102,A2INXY39KBM92F,3IJXV6UZ1XJ5BO9MZUIK16ANPUXIRB,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 15:29,2/28/18 15:36,0,216.9.178.245,100,418,1,2/28/18 15:36,R_3GAPHEsdxmPULai,,,,,33.05810547,-112.0475998,anonymous,EN,1,8.278,8.278,11.191,1,36,1,2,3,1,4,1,1,1,1,1,1,1,1,3,4,4,1,1,3,2,1,15.787,114.228,115.99,33,3,3,3,2,4,3,3,1,2,2,1,3,3,4,3,1,1,1,1,4,13.185,133.6,135.345,28,1,1,1,4,4,2,4,2,3,1,1,1,1,4,1,3,1,1,3,3,6.238,124.716,126.674,34,A279YSE7NB16M0,185115,A279YSE7NB16M0,39GAF6DQWR0M4PU5072OA4I4TYZ1VV,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 15:35,2/28/18 15:37,0,75.82.63.247,100,126,1,2/28/18 15:37,R_3LdVBiLGSn3iUW2,,,,,34.18539429,-118.3908005,anonymous,EN,1,3.576,3.576,5.337,1,29,4,2,3,3,5,3,5,2,1,3,4,4,4,4,2,3,4,4,2,5,1,2.58,22.848,24.325,21,2,4,5,2,5,3,4,5,2,4,1,4,5,4,3,4,5,2,3,4,2.004,24.862,26.036,20,2,5,1,4,4,4,3,4,5,2,4,3,2,5,3,3,3,4,5,4,1.159,24.446,25.525,21,A3FAH5S2RGZ5AK,765425,A3FAH5S2RGZ5AK,3IO1LGZLK9XJ0ZZPYK3VDMPDQBE68T,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 15:48,2/28/18 15:52,0,73.251.153.160,100,216,1,2/28/18 15:52,R_1jCeRZoSV8M54B0,,,,,37.80149841,-79.51229858,anonymous,EN,1,4.771,4.771,13.446,1,31,3,1,1,1,2,1,3,3,3,1,1,1,1,1,1,2,2,1,3,1,1,3.584,60.237,62.005,22,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,4,2.903,46.866,49.248,24,1,1,1,1,3,1,1,1,1,1,4,1,1,1,2,3,1,1,1,1,8.062,63.338,65.701,21,A510DQA9ROBC6,599684,A510DQA9ROBC6,3TU5ZICBRD1CAHI9DTHTJR64QCQ8QS,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 16:03,2/28/18 16:05,0,23.254.144.154,100,107,1,2/28/18 16:05,R_339LQFwCPEGKWmI,,,,,36.15539551,-95.99389648,anonymous,EN,1,6.6,6.6,8.462,1,24,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,1,26.927,26.927,34.633,1,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,3,4,5,4,0,0,22.284,0,5,4,2,5,4,5,4,4,4,5,5,5,5,4,5,3,4,4,5,5,5.162,10.902,23.087,7,A324AD5U1SV0OA,874511,A324AD5U1SV0OA,3OXV7EAXLEQXZ2TJM38ZM5H2APM631,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 16:08,2/28/18 16:11,0,72.231.197.249,100,174,1,2/28/18 16:11,R_2CH8T3itAw8M1ND,,,,,42.103302,-78.40419769,anonymous,EN,1,5.387,8.063,9.702,3,27,4,4,4,4,4,3,3,5,4,3,2,4,2,4,3,4,4,4,4,4,1,1.981,34.382,35.88,27,5,4,5,5,4,4,4,4,5,5,4,4,4,4,5,4,1,4,5,4,2.989,31.931,32.921,27,4,5,4,4,5,3,4,4,5,5,5,5,4,4,4,3,5,4,5,3,1.847,22.911,23.515,24,A2MMMYB7AE5RQN,103737,A2MMMYB7AE5RQN,35GCEFQ6I5OZNCDUO85AJ3AXFTIZ3K,3T2HW4QDUV7581T6N1HABYGB7UI9CS
2/28/18 16:28,2/28/18 16:32,0,68.77.57.53,100,244,1,2/28/18 16:32,R_1f6MVLsViM9hpwb,,,,,35.11329651,-89.90209961,anonymous,EN,1,4.873,4.873,8.097,1,34,4,5,5,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,5,5,1,5.215,78.184,81.81,25,5,5,5,4,5,5,1,5,4,2,2,5,5,5,5,2,2,1,5,4,4.397,68.602,69.685,25,5,5,4,5,1,3,5,5,5,5,4,4,4,4,5,3,5,5,5,4,3.247,59.823,62.008,20,A1E5B1BU5RVGIU,193721,A1E5B1BU5RVGIU,3WJEQKOXA822C1R7PCBSEH4R8O8A1D,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 16:27,2/28/18 16:32,0,96.75.104.106,100,246,1,2/28/18 16:32,R_3p3AT9p3M7jagcQ,,,,,39.87809753,-105.0437012,anonymous,EN,1,3.792,5.679,7.51,2,50,4,4,4,5,4,4,4,4,4,2,4,5,1,2,5,4,5,5,5,4,1,3.447,69.862,70.833,23,4,4,4,4,4,4,4,4,4,4,1,4,4,4,5,2,4,2,5,4,5.721,65.991,67.304,21,4,5,4,4,5,2,3,2,4,5,4,2,4,4,4,3,4,4,4,4,5.722,79.28,80.516,22,A1879O6JNJ6ZIY,666524,A1879O6JNJ6ZIY,37TD41K0AH9QZ0NZM9M3GDHOYR6CS1,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 16:28,2/28/18 16:33,0,157.48.15.156,100,314,1,2/28/18 16:33,R_3LZTOALYj3rj8UE,,,,,17.37530518,78.47439575,anonymous,EN,1,61.615,61.615,67.363,1,28,5,4,3,4,3,4,4,4,3,3,4,4,3,5,4,3,3,5,3,3,2,9.429,75.213,77.735,23,4,4,3,3,4,4,3,5,4,3,4,3,4,4,4,3,3,3,4,4,5.385,63.98,82.081,23,3,3,3,4,5,5,4,3,4,3,4,4,4,3,4,3,5,4,4,4,2.565,49.888,54.483,22,AMLYCYFLE22C8,126460,AMLYCYFLE22C8,34MAJL3QP4NJKFP53FFKP7XOEYQ34N,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 16:47,2/28/18 16:52,0,73.237.152.19,100,312,1,2/28/18 16:52,R_D2UuGjMlNqdJYmR,,,,,33.62219238,-84.52310181,anonymous,EN,1,3.975,6.479,8.611,3,32,4,5,4,4,5,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,1,2.976,73.453,75.132,27,4,4,5,4,4,4,2,3,4,4,2,2,4,4,3,2,4,2,4,4,6.072,94.982,96.199,27,4,4,4,4,2,3,2,4,4,4,4,2,4,4,4,3,3,3,4,2,5.013,104.711,106.779,24,A8TVULD5F6YKF,635578,A8TVULD5F6YKF,3XXU1SWE8MV25C6PTT7S0CLH3W2A0A,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 16:56,2/28/18 16:56,0,68.96.169.162,100,19,1,2/28/18 16:56,R_2qmlp3HQI7z6TXa,,,,,36.2348938,-115.2904968,anonymous,EN,1,1.816,1.816,3.505,1,30,,,,,,,,,,,,,,,,,,,,,,0,0,3.327,0,,,,,,,,,,,,,,,,,,,,,0,0,1.903,0,,,,,,,,,,,,,,,,,,,,,0,0,0.946,0,,863004,A3GK90X2QOFR53,3LOTDFNYA7ZQ9TOIXGM5L85C1HUWFB,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 16:28,2/28/18 16:58,0,73.177.140.155,100,1780,1,2/28/18 16:58,R_xtkXFrd8RPH0vdL,,,,,37.61920166,-77.4960022,anonymous,EN,1,2.437,2.437,3.827,1,26,2,2,2,4,4,2,5,4,4,2,2,2,1,2,2,2,2,2,4,4,1,8.407,55.782,56.472,26,2,4,4,2,2,4,1,3,2,2,1,5,2,4,5,2,2,1,2,4,12.962,326.654,327.548,20,2,2,4,2,4,2,1,2,2,2,2,1,2,4,4,3,4,3,2,4,150.413,193.789,195.095,22,AOWW3URQNRJ6U,575499,AOWW3URQNRJ6U,3WJ1OXY92AGKN1BSOXK7TRRZMUE8AV,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 16:57,2/28/18 17:01,0,68.96.169.162,100,248,1,2/28/18 17:01,R_BtczKn8HO3QaMcF,,,,,36.2348938,-115.2904968,anonymous,EN,1,1.6,1.6,3.291,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.912,39.892,41.826,21,2,2,1,2,2,2,1,1,1,1,1,1,3,3,1,2,1,1,1,4,6.565,76.01,79.664,43,2,1,1,1,2,1,1,1,1,1,3,1,1,2,1,3,2,1,1,2,30.699,108.235,109.809,41,A3GK90X2QOFR53,148383,A3GK90X2QOFR53,3LOTDFNYA7ZQ9TOIXGM5L85C1HUWFB,37M4O367VJIZG03LX0Y72EGLFC85MK
2/28/18 18:02,2/28/18 18:04,0,96.236.117.75,100,100,1,2/28/18 18:04,R_3EiP7qToWtEloJV,,,,,42.43190002,-73.0739975,anonymous,EN,1,4.325,4.325,6.035,1,33,3,4,3,3,4,3,3,3,4,,4,4,3,4,3,4,3,,4,4,1,1.192,14.976,18.192,20,4,4,3,3,3,3,4,3,3,4,4,2,2,3,4,3,3,2,4,4,2.15,18.25,18.693,22,2,4,3,2,3,3,4,4,3,3,3,4,4,3,4,3,2,3,4,3,0.754,20.297,20.546,26,A2AAG78CGKX2U5,538407,A2AAG78CGKX2U5,3IQ1VMJRYTKK16U2TPQLTNMA607A9X,3I7KR83SNADNRZ5UFEY8ZHTJC3YK9N
2/28/18 18:00,2/28/18 18:05,0,71.185.54.199,100,269,1,2/28/18 18:05,R_r2UB8zwFqkjLMGZ,,,,,40.09790039,-75.10780334,anonymous,EN,1,23.624,23.624,25.529,1,28,3,4,3,4,2,4,5,4,4,4,3,3,5,3,1,3,4,4,3,4,1,2.395,165.3,172.23,27,1,2,4,3,2,2,3,3,1,2,4,3,4,4,2,2,5,1,3,4,0.353,19.535,21.215,20,3,3,3,4,4,5,3,3,4,4,4,2,5,4,2,3,2,2,3,5,0.433,21.466,24.713,22,A1K0S514CEY1UG,261635,A1K0S514CEY1UG,3VW04L3ZLT6MYFKT7FODTYJQEO6XX6,3I7KR83SNADNRZ5UFEY8ZHTJC3YK9N
2/28/18 17:59,2/28/18 18:05,0,72.230.132.90,100,355,1,2/28/18 18:05,R_2qlcpyFZ8QHpFUH,,,,,42.83259583,-77.30960083,anonymous,EN,1,5.552,5.552,7.454,1,61,3,4,4,4,3,3,3,4,4,2,4,3,1,3,4,4,4,3,4,5,1,2.066,61.025,61.959,27,4,4,4,3,2,4,2,4,4,3,2,4,3,3,3,3,2,2,3,4,4.661,69.892,70.994,26,4,4,3,4,4,3,4,2,4,4,2,3,3,3,3,3,4,4,4,4,112.279,191.264,192.538,24,A13B56UPRDS9HH,556192,A13B56UPRDS9HH,3UOUJI6MTDEUHBQY2ADQ9RKMK6PXUE,3I7KR83SNADNRZ5UFEY8ZHTJC3YK9N
